date,available_date,report_date,mm_net,mm_net_oi,mm_net_oi_z,nc_net,nc_net_oi,nc_net_oi_z,total_oi,cot_risk_off
2020-06-04,2020-06-02,2020-05-26,374810,0.1754993027975191,1.8694681274491805,542574,0.2540523430966653,1.281702849791929,2135678,False
2020-06-05,2020-06-02,2020-05-26,374810,0.1754993027975191,1.8694681274491805,542574,0.2540523430966653,1.281702849791929,2135678,False
2020-06-08,2020-06-02,2020-05-26,374810,0.1754993027975191,1.8694681274491805,542574,0.2540523430966653,1.281702849791929,2135678,False
2020-06-09,2020-06-09,2020-06-02,394131,0.18524118469833584,2.0537278625018893,568330,0.26711454440174764,1.6226100870861948,2127664,False
2020-06-10,2020-06-09,2020-06-02,394131,0.18524118469833584,2.0537278625018893,568330,0.26711454440174764,1.6226100870861948,2127664,False
2020-06-11,2020-06-09,2020-06-02,394131,0.18524118469833584,2.0537278625018893,568330,0.26711454440174764,1.6226100870861948,2127664,False
2020-06-12,2020-06-09,2020-06-02,394131,0.18524118469833584,2.0537278625018893,568330,0.26711454440174764,1.6226100870861948,2127664,False
2020-06-15,2020-06-09,2020-06-02,394131,0.18524118469833584,2.0537278625018893,568330,0.26711454440174764,1.6226100870861948,2127664,False
2020-06-16,2020-06-16,2020-06-09,397549,0.186938577438754,2.037224420345309,567909,0.26704657935164056,1.5965529557098839,2126629,False
2020-06-17,2020-06-16,2020-06-09,397549,0.186938577438754,2.037224420345309,567909,0.26704657935164056,1.5965529557098839,2126629,False
2020-06-18,2020-06-16,2020-06-09,397549,0.186938577438754,2.037224420345309,567909,0.26704657935164056,1.5965529557098839,2126629,False
2020-06-19,2020-06-16,2020-06-09,397549,0.186938577438754,2.037224420345309,567909,0.26704657935164056,1.5965529557098839,2126629,False
2020-06-22,2020-06-16,2020-06-09,397549,0.186938577438754,2.037224420345309,567909,0.26704657935164056,1.5965529557098839,2126629,False
2020-06-23,2020-06-23,2020-06-16,373061,0.17961617533064675,1.818849333814964,546272,0.26301137704081384,1.4660636495942811,2076990,False
2020-06-24,2020-06-23,2020-06-16,373061,0.17961617533064675,1.818849333814964,546272,0.26301137704081384,1.4660636495942811,2076990,False
2020-06-25,2020-06-23,2020-06-16,373061,0.17961617533064675,1.818849333814964,546272,0.26301137704081384,1.4660636495942811,2076990,False
2020-06-26,2020-06-23,2020-06-16,373061,0.17961617533064675,1.818849333814964,546272,0.26301137704081384,1.4660636495942811,2076990,False
2020-06-29,2020-06-23,2020-06-16,373061,0.17961617533064675,1.818849333814964,546272,0.26301137704081384,1.4660636495942811,2076990,False
