signal,fit_window,refit_every,entry_threshold,stop_loss_mult,num_trades,total_pnl,sharpe,max_drawdown_$,worst_trade,best_trade,win_rate_%,avg_trade_pnl,ann_return_$,ann_vol_$
GARCH,126,21,1.15,2.5,47,349.16094050999806,0.03376409610474979,-3474.0329966499994,-1838.0055447500001,2428.922515845,57.446808510638306,7.428956181063787,58.97356367863238,1746.6353458914668
GARCH,126,21,1.2,1.5,40,-2391.571317821993,-0.26932860632269723,-4881.921052095994,-763.5846991499997,1798.8520320650007,40.0,-59.789282945549985,-403.93831909593985,1499.7973093580688
GARCH,126,21,1.2,2.0,40,865.421196371999,0.08622237501327948,-3510.134243102002,-2006.7431595590003,1798.8520320650007,57.49999999999999,21.63552990929997,146.17033611645022,1695.2715126895762
GARCH,126,21,1.2,2.5,40,2557.7586927719985,0.24180138434470932,-2995.144999,-2006.7431595590003,1798.8520320650007,62.5,63.94396731929997,432.00750038776386,1786.6212865510267
GARCH,126,63,1.05,1.5,49,2035.7056851209925,0.25319160196335155,-4325.681978249001,-1267.1473253679997,797.5123385500009,63.26530612244898,33.80892216716319,343.8323275137333,1357.9926223757673
GARCH,126,63,1.05,2.0,49,5598.769135787,0.5069001063714222,-3444.468243553996,-1020.0790728,797.5123385500009,73.46938775510205,106.5245027929999,945.6366100659008,1865.5285295462177
GARCH,126,63,1.05,2.5,49,7950.008382384993,0.6876337601012655,-3039.554143606004,-1362.6853589399996,797.5123385500009,79.59183673469387,154.50897721336727,1342.7628098934438,1952.7296183010262
GARCH,126,63,1.1,1.5,46,3533.2363311779964,0.38337132947686503,-4675.127495896001,-819.3538999000003,1798.8520320650007,60.86956521739131,76.80948546039123,596.766458081002,1556.6277710316222
GARCH,126,63,1.1,2.0,46,5237.025495972002,0.5011555189696244,-3703.433684701997,-2006.7431595590003,1798.8520320650007,73.91304347826086,113.8483803472173,884.5378183545205,1764.9966624594497
GARCH,126,63,1.1,2.5,46,8312.089544772003,0.7683887711877639,-2777.8544567500003,-2006.7431595590003,1798.8520320650007,80.43478260869566,180.69759879939122,1403.918609438703,1827.0941248510783
GARCH,126,63,1.15,1.5,39,-161.94768614500208,-0.018806950661467516,-4042.521257399001,-836.4648229179999,919.5293068000003,48.717948717948715,-32.8472063666924,-27.35309444272153,1454.4141118402422
GARCH,126,63,1.15,2.0,39,195.89143491699724,0.02028747305763804,-3345.507508237,-1928.2298773609998,919.5293068000003,56.41025641025641,-23.671844288179575,33.086220910913745,1630.8694935497203
GARCH,126,63,1.15,2.5,39,509.807765882995,0.044294634988524394,-5400.613213064,-4093.842827745,919.5293068000003,61.53846153846154,-15.622707596743684,86.10694169069353,1943.9587144809216
