entry_date,exit_date,expiry,strike,premium_received,exit_reason,trade_pnl,option_pnl,hedge_pnl,transaction_costs,holding_days
2021-10-19,2021-11-12,2021-11-19,57.0,409.0,near_expiry,178.00000000000003,178.00000000000003,0.0,0.0,18
2021-11-17,2021-12-10,2021-12-17,55.0,395.0,near_expiry,62.99999999999998,62.99999999999998,0.0,0.0,16
2022-01-14,2022-02-04,2022-02-11,60.0,441.0,near_expiry,-98.0,-98.0,0.0,0.0,14
2022-02-14,2022-03-11,2022-03-18,66.0,635.0,near_expiry,-450.00000000000006,-450.00000000000006,0.0,0.0,18
2022-05-06,2022-05-27,2022-06-03,82.0,875.0,near_expiry,398.0,398.0,0.0,0.0,15
2022-06-06,2022-07-01,2022-07-08,88.0,900.0,near_expiry,218.00000000000006,218.00000000000006,0.0,0.0,18
2022-08-16,2022-09-09,2022-09-16,71.0,715.0,near_expiry,344.99999999999994,344.99999999999994,0.0,0.0,17
2022-09-14,2022-10-07,2022-10-14,72.5,745.0,near_expiry,287.00000000000006,287.00000000000006,0.0,0.0,17
2022-10-13,2022-11-04,2022-11-11,72.5,735.0,near_expiry,181.00000000000006,181.00000000000006,0.0,0.0,16
2022-11-14,2022-12-09,2022-12-16,72.0,725.0,near_expiry,-203.0,-203.0,0.0,0.0,18
2022-12-13,2023-01-06,2023-01-13,66.0,644.9999999999999,near_expiry,328.99999999999983,328.99999999999983,0.0,0.0,16
2023-01-11,2023-02-03,2023-02-10,68.0,616.0,near_expiry,203.99999999999994,203.99999999999994,0.0,0.0,16
2023-02-13,2023-03-10,2023-03-17,69.0,588.0,near_expiry,246.99999999999994,246.99999999999994,0.0,0.0,18
2023-03-14,2023-04-10,2023-04-14,63.0,606.0,near_expiry,-100.99999999999993,-100.99999999999993,0.0,0.0,18
2023-04-26,2023-05-19,2023-05-26,65.5,526.0,near_expiry,264.00000000000006,264.00000000000006,0.0,0.0,17
2023-05-31,2023-06-23,2023-06-30,60.5,527.9999999999999,near_expiry,226.99999999999983,226.99999999999983,0.0,0.0,16
2023-08-14,2023-09-08,2023-09-15,74.0,441.0,near_expiry,-23.999999999999968,-23.999999999999968,0.0,0.0,18
2023-09-12,2023-10-06,2023-10-13,79.5,452.99999999999994,near_expiry,-110.00000000000003,-110.00000000000003,0.0,0.0,18
2023-10-11,2023-11-03,2023-11-10,76.0,615.0,near_expiry,302.0,302.0,0.0,0.0,17
2023-11-09,2023-12-01,2023-12-08,70.0,579.0,near_expiry,305.0,305.0,0.0,0.0,15
2024-01-02,2024-01-26,2024-02-02,66.0,552.0,near_expiry,-188.99999999999997,-188.99999999999997,0.0,0.0,17
2024-01-31,2024-02-23,2024-03-01,71.0,517.0,near_expiry,268.9999999999999,268.9999999999999,0.0,0.0,16
2024-02-29,2024-03-21,2024-03-28,73.5,451.0,near_expiry,62.00000000000001,62.00000000000001,0.0,0.0,15
2024-04-01,2024-04-26,2024-05-03,79.5,443.0,near_expiry,214.00000000000003,214.00000000000003,0.0,0.0,19
2024-04-30,2024-05-24,2024-05-31,78.5,435.99999999999994,near_expiry,85.99999999999991,85.99999999999991,0.0,0.0,18
2024-05-29,2024-06-21,2024-06-28,76.5,421.0,near_expiry,135.00000000000006,135.00000000000006,0.0,0.0,16
2024-07-15,2024-08-09,2024-08-16,80.0,400.0,near_expiry,-43.99999999999993,-43.99999999999993,0.0,0.0,19
2024-10-01,2024-10-25,2024-11-01,72.0,565.0,near_expiry,170.99999999999986,170.99999999999986,0.0,0.0,18
2024-11-05,2024-11-29,2024-12-06,74.5,430.0,near_expiry,54.99999999999993,54.99999999999993,0.0,0.0,17
2024-12-23,2025-01-17,2025-01-24,73.0,405.0,near_expiry,-734.0,-734.0,0.0,0.0,16
2025-01-29,2025-02-21,2025-02-28,78.0,442.0,near_expiry,127.99999999999997,127.99999999999997,0.0,0.0,16
2025-02-27,2025-03-21,2025-03-28,75.5,381.0,near_expiry,130.00000000000006,130.00000000000006,0.0,0.0,16
2025-03-28,2025-04-21,2025-04-25,75.0,357.0,near_expiry,-327.99999999999994,-327.99999999999994,0.0,0.0,15
2025-04-30,2025-05-23,2025-05-30,63.5,700.0,near_expiry,198.0,198.0,0.0,0.0,17
2025-05-29,2025-06-20,2025-06-27,67.0,513.0,near_expiry,-1186.0,-1186.0,0.0,0.0,15
2025-08-14,2025-09-05,2025-09-12,74.0,514.0,near_expiry,245.99999999999994,245.99999999999994,0.0,0.0,15
2025-09-17,2025-10-10,2025-10-17,75.0,466.0,near_expiry,-126.0,-126.0,0.0,0.0,17
2025-10-16,2025-11-07,2025-11-14,68.0,500.0,near_expiry,130.0,130.0,0.0,0.0,16
2025-11-18,2025-12-12,2025-12-19,72.0,465.00000000000006,near_expiry,111.00000000000006,111.00000000000006,0.0,0.0,17
2025-12-17,2026-01-09,2026-01-16,68.0,465.00000000000006,near_expiry,55.00000000000003,55.00000000000003,0.0,0.0,15
2026-01-15,2026-02-06,2026-02-13,71.0,568.0,near_expiry,-284.00000000000006,-284.00000000000006,0.0,0.0,15
2026-02-13,2026-03-06,2026-03-13,76.0,600.0,near_expiry,-2865.0,-2865.0,0.0,0.0,14
2026-03-16,2026-04-10,2026-04-17,115.0,2660.0,near_expiry,1308.0,1308.0,0.0,0.0,18
