entry_date,exit_date,expiry,strike,premium_received,exit_reason,trade_pnl,option_pnl,hedge_pnl,transaction_costs,holding_days
2022-08-16,2022-09-09,2022-09-16,71.0,715.0,near_expiry,708.2002460999993,344.99999999999994,372.57179999999937,9.371553900000002,17
2022-09-14,2022-10-07,2022-10-14,72.5,745.0,near_expiry,530.8510172000001,287.00000000000006,251.01739999999998,7.166382799999998,17
2022-10-13,2022-11-04,2022-11-11,72.5,735.0,near_expiry,230.58903100000018,181.00000000000006,56.24680000000012,6.657768999999999,16
2022-11-14,2022-12-09,2022-12-16,72.0,725.0,near_expiry,-486.30742514999974,-203.0,-273.07489999999973,10.23252515,18
2022-12-13,2023-01-06,2023-01-13,66.0,644.9999999999999,near_expiry,535.8560122499996,328.99999999999983,215.03769999999977,8.181687750000002,16
2023-01-11,2023-02-03,2023-02-10,68.0,616.0,near_expiry,262.7288746000002,203.99999999999994,67.33760000000028,8.608725399999999,16
2023-02-13,2023-03-10,2023-03-17,69.0,588.0,near_expiry,414.05790245000014,246.99999999999994,177.79730000000018,10.739397550000001,18
2023-03-14,2023-04-10,2023-04-14,63.0,606.0,near_expiry,-196.80059550000058,-100.99999999999993,-85.68720000000067,10.113395500000001,18
2023-04-26,2023-05-19,2023-05-26,65.5,526.0,near_expiry,530.2683560499999,264.00000000000006,276.71829999999983,10.449943950000002,17
2023-05-31,2023-06-23,2023-06-30,60.5,527.9999999999999,near_expiry,409.30425244999947,226.99999999999983,191.39829999999964,9.094047549999999,16
2023-08-14,2023-09-08,2023-09-15,74.0,441.0,near_expiry,-97.3684813999997,-23.999999999999968,-62.648199999999726,10.7202814,18
2023-09-12,2023-10-06,2023-10-13,79.5,452.99999999999994,near_expiry,-73.51249830000008,-110.00000000000003,49.141599999999954,12.654098300000001,18
2023-10-11,2023-11-03,2023-11-10,76.0,615.0,near_expiry,547.0938137,302.0,254.96120000000008,9.867386300000001,17
2023-11-09,2023-12-01,2023-12-08,70.0,579.0,near_expiry,539.5448456500003,305.0,243.42930000000038,8.88445435,15
2024-01-02,2024-01-26,2024-02-02,66.0,552.0,near_expiry,-456.24814094999954,-188.99999999999997,-257.39769999999953,9.850440950000001,17
2024-01-31,2024-02-23,2024-03-01,71.0,517.0,near_expiry,432.60070164999985,268.9999999999999,173.41269999999997,9.81199835,16
2024-02-29,2024-03-21,2024-03-28,73.5,451.0,near_expiry,49.45438160000057,62.00000000000001,-3.146599999999431,9.3990184,15
2024-04-01,2024-04-26,2024-05-03,79.5,443.0,near_expiry,302.4337678000002,214.00000000000003,96.72100000000017,8.2872322,19
2024-04-30,2024-05-24,2024-05-31,78.5,435.99999999999994,near_expiry,93.97850794999927,85.99999999999991,18.86429999999936,10.885792050000001,18
2024-05-29,2024-06-21,2024-06-28,76.5,421.0,near_expiry,290.66507044999975,135.00000000000006,167.85869999999974,12.19362955,16
2024-07-15,2024-08-05,2024-08-16,80.0,400.0,stop_loss,-478.5736647500005,-400.0,-66.4743000000005,12.09936475,15
2024-10-01,2024-10-08,2024-11-01,72.0,565.0,stop_loss,-557.1557439000005,-580.0000000000002,27.528199999999742,4.683943899999999,5
2024-11-05,2024-11-06,2024-12-06,74.5,430.0,stop_loss,-504.19936690000003,-505.00000000000006,1.3185999999999845,0.5179669000000001,1
2024-12-23,2024-12-27,2025-01-24,73.0,405.0,stop_loss,-411.4732785499999,-410.0,-0.7714999999999068,0.7017785500000002,3
2025-01-29,2025-02-21,2025-02-28,78.0,442.0,near_expiry,230.11843500000026,127.99999999999997,109.37220000000029,7.253765,16
2025-02-27,2025-03-21,2025-03-28,75.5,381.0,near_expiry,289.70926730000065,130.00000000000006,168.70760000000055,8.998332699999999,16
2025-03-28,2025-04-04,2025-04-25,75.0,357.0,stop_loss,-437.15844619999996,-496.9999999999999,65.74139999999994,5.899846200000001,5
2025-04-30,2025-05-23,2025-05-30,63.5,700.0,near_expiry,184.24736664999992,198.0,-5.0053000000000765,8.747333350000002,17
2025-05-29,2025-06-13,2025-06-27,67.0,513.0,stop_loss,-1667.88134115,-898.0,-762.8013000000002,7.08004115,11
2025-08-14,2025-09-05,2025-09-12,74.0,514.0,near_expiry,381.7539631000002,245.99999999999994,144.0546000000002,8.300636899999999,15
2025-09-17,2025-10-10,2025-10-17,75.0,466.0,near_expiry,-214.10674145000036,-126.0,-78.30230000000036,9.804441450000002,17
2025-10-16,2025-11-07,2025-11-14,68.0,500.0,near_expiry,166.52492829999954,130.0,43.81439999999955,7.2894717,16
2025-11-18,2025-12-12,2025-12-19,72.0,465.00000000000006,near_expiry,123.91390790000048,111.00000000000006,23.815600000000416,10.901692099999998,17
2025-12-17,2026-01-09,2026-01-16,68.0,465.00000000000006,near_expiry,169.84734701900004,55.00000000000003,125.19070200000002,10.343354981000004,15
2026-01-15,2026-02-06,2026-02-13,71.0,568.0,near_expiry,-371.52602795699954,-284.00000000000006,-78.73324999999946,8.792777957000002,15
2026-02-13,2026-03-02,2026-03-13,76.0,600.0,stop_loss,-1222.6958364239995,-861.0,-356.4234399999997,5.272396424000002,10
2026-03-16,2026-04-10,2026-04-17,115.0,2660.0,near_expiry,2018.901663494,1308.0,729.3252680000002,18.423604506000004,18
